Team,Day,X,Y
Garages,42,0.2772094048947017,0.5861217794734049
Garages,43,0.34663902874348895,0.6142661413531381
Garages,44,0.3905202732863027,0.5142261474126942
Garages,45,0.44974218850025793,0.5558874666982595
Garages,46,0.5103884689866641,0.5999077083365085
Garages,47,0.5703173330165476,0.6446516701050552
Garages,48,0.629708703298465,0.6898652030396321
Garages,49,0.6883596152401923,0.735386769475449
Garages,50,0.7466746143014317,0.7804540375962077
Garages,51,0.8037209105666842,0.8269069761206053
Garages,52,0.8600663404406668,0.8741527858436493
Garages,53,0.9157098465460074,0.9221639528715428
Garages,54,0.9702291096058876,0.970993970465188
Georgias,28,0.01349,0.74635
Georgias,29,0.10927,0.71421
Georgias,30,0.0806,0.81415
Georgias,31,0.14391,0.73947
Georgias,32,0.16190103673212805,0.645338849658181
